what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1329611603370
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.core",1329611603370
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.ui",1329611603370
started,bundle,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central",1329611603370
started,bundle,org.jboss.tools.common,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common",1329611603370
started,bundle,org.jboss.tools.common.model,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.model",1329611603370
started,bundle,org.jboss.tools.project.examples,1.2.1.v20111103-2106-H32-M4,"org.jboss.tools.project.examples",1329611603370
started,bundle,org.jboss.tools.runtime,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime",1329611603370
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.ui",1329611603370
started,bundle,org.jboss.tools.usage,1.1.0.v20111021-1509-H27-M4,"org.jboss.tools.usage",1329611603370
os,sysinfo,,,"macosx",1329611603373
arch,sysinfo,,,"x86",1329611603373
ws,sysinfo,,,"cocoa",1329611603373
locale,sysinfo,,,"en_US",1329611603373
processors,sysinfo,,,"4",1329611603373
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329611603373
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1329611603373
java.specification.name,sysinfo,,,"Java Platform API Specification",1329611603373
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329611603373
java.specification.version,sysinfo,,,"1.6",1329611603373
java.vendor,sysinfo,,,"Apple Inc.",1329611603373
java.version,sysinfo,,,"1.6.0_29",1329611603373
java.vm.info,sysinfo,,,"mixed mode",1329611603373
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329611603373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329611603373
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329611603373
java.vm.specification.version,sysinfo,,,"1.0",1329611603373
java.vm.vendor,sysinfo,,,"Apple Inc.",1329611603373
java.vm.version,sysinfo,,,"20.4-b02-402",1329611603373
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329611603376
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1329611603759
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.helloworld",1329611604098
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.numberguess",1329611604098
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.login",1329611604099
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.kitchensink",1329611604099
started,bundle,org.jboss.tools.seam.core,3.3.0.v20111020-1412-H45-M4,"org.jboss.tools.seam.core",1329611604106
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.jbossJavaee6Webapp",1329611604136
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.jbossJavaee6Ear",1329611604152
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1329611606283
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1329611606566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611655712
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329611655725
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329611655725
activated,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1329611657641
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329611657725
closed,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1329611657727
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1329611662625
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1329611662764
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1329611662792
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1329611662795
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1329611662818
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1329611662821
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1329611662841
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20111022-0843-H32-M4,"org.jboss.ide.eclipse.archives.core",1329611662850
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.archives.webtools",1329611662854
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.wtp.core",1329611662866
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1329611662898
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.ui.mbeans",1329611662922
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1329611662939
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1329611662964
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1329611662995
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1329611663008
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1329611663010
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1329611663017
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1329611663034
started,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.verification.ui",1329611663423
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1329611663447
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1329611663450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611667440
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.appengine.rpc",1329611676466
started,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.jdt.ui",1329611676474
started,bundle,org.hibernate.eclipse,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse",1329611676575
started,bundle,org.hibernate.eclipse.console,3.4.0.v20111022-0922-H35-M4,"org.hibernate.eclipse.console",1329611676609
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1329611676622
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1329611676626
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1329611676658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611677288
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1329611677741
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611677875
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1329611677967
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1329611678008
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611678034
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1329611682985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329611696459
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329611697789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611701261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611713404
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611713522
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611713574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611723249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611725777
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1329611744468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611747750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329611756871
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611757023
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1329611757073
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1329611768822
